A&A,Astronomy And Astrophysics
VIB,Vertical Integration Building
VICAR,Graphics Format Used By JPL
VISSR,Visible/Infrared Spin-Scan Radiometer
VLA,Very Large Array
VLBA,Very Long Baseline Array
VLBI,Very Long Baseline Interferometry
VLF,Very Low Frequency
VLT,Very Large Telescope
VMF,Voenno-Morskoy Flot
VMS,Vertical Motion Simulator
VOIR,Venus Orbiting Imaging Radar
VPF,Vertical Processing Facility
VRM,Venus Radar Mapper
VS,SNGVooruzhennikh Sil SNG
VTHL,Vertical Takeoff Horizontal Landing
VTVL,Vertical Takeoff Vertical Landing
VVS,Voenno-Vosdushniye Sili
WD,White Dwarf
WFF,Wallops Flight Facility
WFPC,Wide Field/Planetary Camera
WFPCII,Replacement For WFPC
WIMP,Weakly Interacting Massive Particle
WINDII,Wind Imaging Interferometer
WIYN,Wisconsin/Indiana/Yale/NOAO Telescope
WMO,World Meterological Organisation
WR,Western Range
WSGT,White Sands Ground Terminal
WSMR,White Sands Missile Range
WTR,Western Test Range
WUPPE,Wisconsin Ultraviolet PhotoPolarimter Experiment
XMM,X-ray Multi Mirror
XUV,Extreme Ultraviolet
YSC,Yokohama Science Center
YSO,Young Stellar Object
ZCG,Zeolite Crystal Growth
ZHR,Zenith Hourly Rate
3CPO,Cloud Chemistry And Cloud Physics Organization
AA,Access Authorization
B,Byte
E,Epsilon
G- IV,Gulfstream IV
I/ O,Input/output
JAFNA,Joint Air Force NASA Facility
M,Mega
N/A OR NA,Not Applicable
P/B,Priority Playback
R,Rayleigh
S&B,Salary And Benefits
T.P.,Tropical Platform
U MASS,University Of Massachusetts
VAD,Velocity-azimuth Display
W-Z RELATIONSHIP, W = Precipitation Content
(A3),Armor/anti-armor
(AA3),Accident Analysis Computer Program
(C3),Command
(C4),Center For Clouds
(ES),Sporadic E
4DDD,Four-Dimensional Data Assimilation
A&C,Abatement & Control
A&R,Air And Radiation
A/C,Aircraft
A/C,Air Conditioning
A/D,Analog-to-digital
A/H,Air Handling
A/I,Accident/incident
AA,Accountable/activity Area
AA,Activity Area
AA,Adverse Action
AA,Affirmative Action
AA,Assistant Administrator
AA/EEO,Affirmative Action/equal Employment Opportunity
AAA,American Arbitration Association
AAAS,American Association For The Advancement Of Science
AACR,Angle-American Cataloging Rules
AACS,Airborne Activity Confinement System
AADT,Average Annual Weekday Traffic
AAEE,American Academy Of Environmental Engineers
AAG,Association Of American Geographers
AAH,Advanced Attack Helicopter
AALC,Amphibious Assault Landing Craft
AAM,Airborne Activity Monitor
AAM,Air-to-air Missile
AAOE,Airborne Antarctic Ozone Experiment
AAP,Aviation Applications Program
AAP,Atmospheric Analysis And Prediction Division
AAP,Affirmative Action Program
AAP,Asbestos Action Program
AAR,Affirmative Action Representative
AARADCOM,US Army Armanents R&D Command
AARC,Alliance For Acid Rain Control
AARP,American Association Of Retired People
AAS,American Astronomical Society
AAS,Acid Addition System
AAS,Atomic Absorption Spectroscopy
AASE,Airborne Arctic Stratospheric Expedition
AASM,Advanced Air To Surface Missile
AASO,Army Aeronautical Service Office
AAW,Antiair Warfare
AB,Architect Building
ABA,American Bar Association
ABAQUS,Finite-element Computer Code
ABB,Asea Brown Boveri
ABC,Aerobiochemical
ABC,Accelerator-based Conversion
ABC,Advanced Ball Concept
ABE,Army Background Experiment
ABES,Alliance For Balanced Environmental Solutions
ABFEL,Air-based Free-electron Laser
ABHX,Air Blast Heat Exchanger
ABL,Airborne Laser
ABL,Atmospheric Boundary Layer
ABLE,Activity Balance Line Evaluation
ABLE,Amazon Boundary Layer Experiment
ABLE-2B,Arctic/Atlantic/Atmospheric Boundary Layer Experiment
ABM,Antiballistic Missile
ABRES,Advanced Ballistic Re-entry System
ABRV,Advanced Ballistic Re-entry Vehicle
ABS,Automatic Backup Shutdown
ABS-SC,Automatic Backup Shutdown Of Safety Computer
ABTRES,Abatement & Residual Forecasting Model
ABV,Auxiliary Building Ventilation
ABWA,American Business Women's Association
AC,Alternating Current
AC,Adirondac Conference
AC,Actual Commitment
AC,Advisory Circular/committee
AC,Alternating Current
AC,Ancho Canyon
AC,Area Coordinator
ACA,Atmospheric Chemistry Of Aerosols
ACA,American Conservation Association
ACA,Applied Combinatorial Analysis
ACACIA,A Consortium For The Application Of Climate Impact Assessments
ACAP (ACAPS),Advanced Computer For Array Processing
ACARS,ARINC Communications And Relay System
ACARS,ARINC Communication
ACAS,Advisory Committee For Atmospheric Sciences
ACATS,Airborne Chromatograph For Atmospheric Trace Species
ACB,Air-operated Circuit Breaker
ACBM,Asbestos-containing Building Material
ACC,Abnormal Condition Control
ACC,Abrupt Climate Change
ACC,Antarctic Circumpolar Current
ACC,Accumulator
ACCD,Aircraft Compatibility Control Drawing
ACCENT,Atmospheric Chemistry Of Combustion Emissions Near The Tropopause
ACD,Atmospheric Chemistry Division
ACD,Advanced Conceptual Design
ACDA,Arms Control And Disarmament Agency
ACDAR,Acoustic Radar
ACDF,Advanced Chemical Diagnostics Facility
ACDWG,Atmospheric Center Of Data Working Group
ACE,Alliance For Clean Energy
ACE,American Council On Education
ACE,Antarctic Current Experiment
ACE,Aerosol Characteristics Experiment
ACE,Accelerated Computing Environment
ACE-1,Aerosol Characterization Experiment
ACE-ASIA,Asian Pacific Regional Aerosol Characterization Experiment
ACEC,American Consulting Engineers Council
ACEP,DOC Advisory Committee
ACF,Acid Concentrator Feed
ACF,Automatic Control Feature
ACFM,Actual Cubic Feet Per Minute
ACFM,Alternating Current Frequency Modulation
ACG,Advanced Computing Group
ACGIH,American Conference Of Governmental Industrial Hygienists
ACH,Air Changes Per Hour
ACHEM,Atmospheric Chemistry Model
ACI,Advanced Computing Initiative
ACI,Automatic Closure And Interlock
ACIS,Automated Chemical Inventory System
ACIS,Academic Information Systems
ACL,Advanced Computing Laboratory
ACL,Alternative Concentration Level/limit
ACL,Auxiliary Cooling Loop
ACM,Association For Computing Machinery
ACM,Advanced Conventional Munitions
ACM,Advanced Cruise Missile
ACM,Asbestos-containing Material
ACME,Airborne Carbone In The Mountains Experiment
ACN AWIPS,Communication Network
ACNFS,Advisory Committee On Nuclear Facility Safety
ACO,Administrative Consent Order
ACO,Advance Change Order
ACO,Atomic Coordinating Office
ACO/UK,ACO/United Kingdom
ACOS,Advanced Coronal Observing System
ACP,Acoustic Doppler Profilers
ACR,Active Cavity Radiometer
ACR,Air Conditioner
ACRIM,Active Cavity Radiometer Irradiance Monitor
ACRIM II,Active Cavity Radiometer Irradiance Monitor
ACRS,Advisory Committee
ACRT,Aircraft Report
ACS,American Chemical Society
ACS,Administrative Computing And Systems
ACS,Automated Cartridge System
ACS,Account Control System
ACS,Aldus Color File
ACS,Auxiliary Cooling System
ACSE,Association Control Service Element
ACSH,American Council On Science & Health
ACSYS,Arctic Climate System Study
ACT,Atmospheric Chemical Transformations
ACTS,Atmospheric Chemistry Of Transient Species
ACTS,Advanced Communications Technology Satellite
ACV,Air-cushion Vehicle
ACV,At-completion Variance
ACVC,Arms Control Verification Committee
ACWA,American Clean Water Association
ACWP,Actual Cost Of Work Performed
AD&D,Accidental Death And Dismemberment
ADA,Americans With Disabilities Act
ADA,Applied Decision Analysis
ADAAC,EOS Program
ADAACS,Affiliated Distributed Active Archive Centers
ADARS,Aircraft Data Acquisition And Recoding System
ADATS,Automated Data Acquisition And Transfer System
ADB,Apple Desktop Bus
ADC,Analog-to-digital Converter
ADC,Affiliated Data Center
ADC,Authorized Derivative Classifier
ADCLS,Advanced Data Collection And Location System
ADDE,Abstract Distributed Data Environment
ADDS,Aviation Digital Data Service
ADEOS,Advanced Earth Observing Satelite
ADEPT,Alexandria Digital Earth Prototype
ADF,Automatic Direction Finding
ADF,Advanced Development Facility
ADI,Acceptable Daily Intake
ADI,Alternating Direction Implicit
ADI,Air Defense Initiative
ADISS,Analytical Data Interchange And Storage Standards
ADL,Above Detection Limit
ADL,Alexandria Digital Library
ADM,Action Description Memorandum
ADM,Arrow Diagram Method
ADM,Atomic Demolition Munition
ADM,Administrative Services Section
ADMP,Acid Deposition Modeling Project
ADO,Associate Director For Operations
ADP,Administrative Data Processing
ADP,Automatic Data Processing
ADP,Anderson
ADPE,Automatic Data Processing Equipment Or ADP Equipment
ADR,Alternative Dispute Resolution
ADR,Audit Discrepancy Report
ADS,Activity Data Sheet
ADS,Airborne Data System
ADS,Aircraft Data Systems
ADS,Ancillary Data Service
ADSB,Advanced Display Systems Branch
ADSCEPTS,Advanced Self-contained Chemical Energy Propulsion
ADT,Aerated Drain Tank
ADTF,At Depth Test Facility
ADV,Atmospheric Dump Valve
ADVISAR,All Digital Video Imaging System For Atmospheric Research
AE,Atmospheric Explorer
AE,Architect/engineer
AEA,Atomic Energy Authority
AEA,Atomic Energy Act Of 1954
AEB,Auxiliary Equipment Building
AEC,Associate Enforcement Counsel
AEC,Atomic Energy Commision
AECA,Arms Export Control Act
AED,Atomic Emission Detector
AED,Air Enforcement Division
AEDS,Atomic Energy Detection System
AEE,Alliance For Environmental Education
AEEN,Agence Europeenne Pour L'Energie Nucleaire
AEERL,Air And Energy Engineering Research Laboratory
AEGIS,Atmosphere Ecosystem Gas Interchange Study
AEM,Application Evaluation Matrix
AEN,Administrative Exception Note
AEO,Atomic Energy Organization
AEOS,Analytic Equation-of-state
AEP,Alkaline Earth Precipitate
AER,Advanced Electric Reactor
AER,Average Evoked Response
AER,AWIPS Forecast Preparation System
AERE,Atomic Energy Research Establishment
AERE,Association Of Environmental & Resources Economists
AEROCE,Air Ocean Exchange Experiment
AEROCE,Atmosphere/Ocean Chemistry Experiment
AES,Atmospheric Environment Service
AES,Atomic Emission Spectroscopy
AES,Auger Electron Spectroscopy
AESA,Atmospheric Effects Of Stratospheric Aircraft
AESD,Advanced Energy System Division
AEW,Airborne Early Warning
AF,United States Air Force Affiliate
AF,Auxiliary Feed
AF,Audio Frequency
AF&F,Arming
AF/INX,Air Force Assistant Chief Of Staff
AFA,American Forestry Association
AFAP,Artillery-fired Atomic Projectile
AFASE,Association For Applied Solar Energy
AFATL,Air Force Armament And Testing Laboratory
AFB,Air Force Base
AFB,Atmospheric Fluidized Bed
AFC,Automatic Flow Control
AFCCN,Air Force Chief Scientist
AFCRL,Air Force Cambridge Research Laboratories
AFCSA/CC,Commander
AFD,Axial Flux Difference
AFD,Acid Fractionator Distillate
AFEAS,Alternate Fluorocarbon Environmental Acceptability Study
AFEL,Advanced Free-electron Laser
AFESC,Air Force Engineering & Sciences Center
AFGL,Air Force Geophysics Laboratory
AFGWC,Air Force Global Weather Central
AFI,Atomic Industrial Forum
AFIS,Automated Fingerprint Identification System
AFM,Atomic Force Microscopy
AFNB,US Air Force Scientific Advisory Board
AFNE,American For Nuclear Energy
AFO,Available For Obligations
AFOE,Advanced Fiber Optic Echelle
AFOS,Automation Of Field Operations And Services
AFOSR,Air Force Office Of Scientific Research
AFP,Apple File Protocol
AFP,Advanced Flexible Processor
AFP,Approved Financial/funding Plan
AFP,Approved Funding Program
AFPEO/ST,Air Force Programs Executive Officer
AFPRO,Air Force Plan Representative Office
AFPS,AWIPS Forecast Preparation System
AFR,Audit Finding Report
AFS,Auxiliary Feedwater System
AFSAS,Air Force Director For Strategic Force Analysis
AFSC,Air Force Systems Command
AFSSO,Air Force Special Security Office
AFT,Antifreeze Protein
AFTAC,Air Force Technical Applications Center
AFV,Alternative Fuel Vehicle
AFV,Armored Fighting Vehicle
AFW,Auxiliary Feedwater
AFWA,Air Force Weather Agency
AFWL,Air Force Weapons Laboratory
AG,Alternating Gradient
AG,Australia Group
AGA,Automatic Gas Analyzer
AGARD,Advisory Group For Aeronautical Research And Development
AGASP,Arctic Gas And Aerosol Sampling Program
AGC,Automatic Gain Control
AGCM,Atmospheric General Circulation Models
AGDATS,Air-Ground Data Telemetry System
AGFA,Advanced Gust Front Algorithm
AGFS,Aviation Gridded Forecast Systems
AGGG,Advisory Group On Greenhouse Gases
AGI,American Geological Institute
AGL,Above Ground Level
AGM,Atmospheric Gas Measurements Section
AGO,Automatic Geophysical Observatory
AGR,Advanced Gas-cooled Reactor
AGRICLIMSS,Agicultural Climate Service System
AGS,Alternating-gradient Synchrotron
AGS,Annulus Gas System
AGT,Above-ground Test
AGT,Advanced Ground Transport
AGU,American Geophysical Union
AHERA,Asbestos Hazard Emergency Response Act
AHF,Advanced Hadron Facility
AHP,Analytical Hierarchy Process
AHS,Automated Highway System
AI,Artificial Intelligence
AI,Action Item
AI,Authorized Inspector
AI&O,Annual Inspection And Overhaul
AIAA,American Institute Of Aeronautics And Astronauts
AIAIT,Army Intelligence And Threat Analysis Center
AIAS,Automatic Incident Actuation System
AIC,Acceptable Intake For Chronic Exposure
AICC,Adiabatic Isochoric Complete Combustion
AICE,American Institute Of Chemical Engineers
AICHE,American Institute Of Chemical Engineers
AID,Agency For International Development
AID,Air Inlet Damper
AIDA,Arecibo Initiative With Dynamics Of The Atmosphere
AIDA,Archive 1 Data Analyzer
AIDJEX,Arctic Ice Dynamics Joint Experiment
AIDS,Activity Information Data Systems
AIDS,Autoimmune Deficiency Syndrome
AIF,Atomic Industrial Health Forum
AIM,Adaptive Injection Molding
AIM,Advanced Industrial Materials
AIM,Artificial Ionization Mirror
AIMR,Airborne Imaging Microwave Radiometer
AIMS,Advanced Information Management Systems
AIP,American Institute Of Physics
AIP,Additions In Progress
AIP,Agreement In Principle
AIRAPT,International Association For Research On High Pressure Science & Technology
AIRES,Artificial Intelligence Research In Environmental Science
AIRFA,American Indian Religious Freedom Act
AIRMET,AIRmen METeorological Information
AIRS,Advanced Infared Studies
AIRS,Atmospheric Infrared Sounder
AIRS,Advanced Inertial Reference Sphere
AIS,Airborne Imaging Spectrometer
AIS,Acceptable Intake For Subchronic Exposure
AIS,Accumulator Injection System
AIS,Administrative Information Systems
AIS,Affiliate Information System
AIS,Advanced Isotope Separation
AIS,Affiliate And Immigration Services
AISC,Assessment And Information Services Center
AISC,Industry
AISEC,Army Information Engineering Command
AIST,Agency Of Industrial Science & Technology
AIT,Audit Inventory Team
AIV,Aviation-impact Variable
AIX,Advanced Interactive Executive
AKP,Atmospheric Kinetics Project
AL,Aeronomy Laboratory
AL,Ames Laboratory
AL,Analytical Laboratory
AL,Authorized Leave With Pay
AL,Albuquerque Field Office
AL/APD,ALO Advance Planning Division
AL/EPD,AL Environmental Protection Division
AL/FPMD,AL Facilities Planning & Maintenance Division
AL/HPD,AL Health Protection Division
AL/KAO,AL Kirtland Area Office
AL/MRD,AL Management Review Division
AL/OESH,AL Office Of Environment
AL/OIEA,AL Office Of Intergovernmental And External Affairs
AL/OQD,AL Operation Safety Division
AL/PIRD,AL Personnel
AL/SPD,AL Special Programs Division
AL/WMOSD,AL Waste Management & Operational Surety Division
ALADIN,Atmospheric Laser Doppler Instrument
ALA-O,Delta-aminolevulinic Acid Dehydrates
ALAP,As Low As Possible
ALAP,As Low As Practical
ALAPCO,Association Of Local Air Pollution Control Officials
ALARA,As Low As Reasonably Achievable
ALBM,Air-launched Ballistic Missile
ALBURT,Albuquerque Budget Reform Task
ALC,Airlift Circulator
ALC,Allocations
ALCLAD,Clad Aluminum Alloy
ALCM,Air-launched Cruise Missile
ALDEN,Alden Electronics
ALDF,Animal Legal Defense Fund
ALE,Atmospheric Lifetimes Experiment
ALE,Arbitrary Lagrangian-Eulerian
ALE/GAGE,Atmospheric Lifetime Experiment/Global Atmospheric Gases Experiment
ALEC,American Legislative Exchange Council
ALERT,Automated Local Evaluation In Real Time
ALEXIS,Array Of Low-energy X-ray Imaging Sensors
ALI,Alpha/LAMP Integration
ALI,Annual Limit On Intake
ALJ,Administrative Law Judge
ALMS,Atomic Line Molecular Spectroscopy
ALOHA,Airborne Lidar Observations And Hawaiian Airglow
ALOO,Albuquerque Operations Office
ALP,Assemble Language Preprocessor
ALPA,Airline Pilots Association
ALPAL,Parallel Program Developed At LLNL
ALPEX,Alpine Experiment
ALPR,Argonne Low Power Reactor
ALPS,Accidental Launch Protection System
ALPS,Alternate Launch Point System
ALPTRAC,Part Of EUROTRAC
ALS,Advanced Launch System
ALS,Advanced Light Source
ALSAS,AT Line Solution Assay
ALSI,Aluminum Silicon Alloy
ALT,Altimeter
ALT/RA,Altimeter/Radar Altimeter
ALU,Arithmetic Logic Unit
ALWAS,Advanced Low-Level Wind Shear Alert System
AL-WDD,Albuquerque Operations
AM,Ampex
AM,Audio Modulation
AM,Amplitude Modulation
AMAD,Activity-median Aerodynamic Diameter
AMAX,American Metals Climax
AMBIENS,Atmospheric Mass Balance Of Industrially Emitted & Natural Sulfur
AMC,American Mining Congress
AMC,Army Materiel Command
AMC,Appraisal Management Center
AMD,Alpha Activity Median Diameter
AMESS,Autonomous Machine Environmental Surveillance System
AMEX,Australian Monsoon EXperiment
AMFS,Advanced Manufacturing Feasibility Studies
AMI,Active Microwave Instrument
AMI-2,Active Microwave Instrument 2
AMIE,Assimilative Mapping Of The Ionospheric Electrodynamics
AMIP,Atmospheric Model Intercomparison Project
AMIR,Advanced Microwave Imaging Radiometer
AML,Acronym Master List
AML,Advanced Materials Laboratory
AMMORA,Adaptation Of Meso-beta-scale Models For Operational And Research Applications
AMMS,Advanced Microwave Moisture Sounder
AMO,Advanced Munitions Office
AMOL,Atlantic Marine Oceanographic Laboratory
AMOS,Automatic Meteorological Observation System
AMOS,Automatic Meteorological Observation System
AMP,Advanced Machining Program
AMP,Ampere
AMP,Asynchronous Multiprocessing
AMPE,Automated Message Processing Exchange
AMPS,Antarctica Mesoscale Prediction System
AMPS,Atmospheric
AMR,Advanced Microwave Radiometer
